individual,species
Syncerus_caffer_ABF221,Syncerus_caffer_ABF221
Syncerus_caffer_AHSCZAK,Syncerus_caffer_AHSCZAK
Syncerus_caffer_CAB,Syncerus_caffer_CAB
Bubalus_kerabau_CUSA_SWP,Bubalus_kerabau_CUSA_SWP
Bubalus_bubalis_AAUIN,Bubalus_bubalis_AAUIN
Bubalus_bubalis_BGI,Bubalus_bubalis_BGI
Bubalus_bubalis_CKM7,Bubalus_bubalis_CKM7
Bubalus_bubalis_NDDB_SH_1,Bubalus_bubalis_NDDB_SH_1
Bubalus_bubalis_UMD_CASPUR_WB_20,Bubalus_bubalis_UMD_CASPUR_WB_20
Bubalus_bubalis_UOAWB,Bubalus_bubalis_UOAWB
Bubalus_bubalis_V0754,Bubalus_bubalis_V0754
Bubalus_depressicornis_ANT3,Bubalus_depressicornis_ANT3
Bos_taurus_ARSUCD12,Bos_taurus_ARSUCD12
