individual,species
Odocoileus_virginianus_OVIR,Odocoileus_virginianus_OVIR
Rangifer_tarandus_granti_KJH003,Rangifer_tarandus_granti_KJH003
Hydropotes_inermis_NWPU,Hydropotes_inermis_NWPU
Alces_alces_MIG12,Alces_alces_MIG12
Cervus_elaphus_RED,Cervus_elaphus_RED
Cervus_elaphus_hippelaphus_CERELA1,Cervus_elaphus_hippelaphus_CERELA1
Cervus_canadensis_ASM1932006v1,Cervus_canadensis_ASM1932006v1
Muntiacus_reevesi_NWPU,Muntiacus_reevesi_NWPU
Muntiacus_gongshanensis_ASM2022602v1,Muntiacus_gongshanensis_ASM2022602v1
Muntiacus_muntjak_UCB_Mmun,Muntiacus_muntjak_UCB_Mmun
Moschus_berezovskii_FMD,Moschus_berezovskii_FMD
