Clade Name	Clade Definition	Section Letter	Components	Show	Comments
Alcelaphini	"Damaliscus_lunatus_CTB+""Alcelaphus_buselaphus_HBT""+""Connochaetes_taurinus_BWD""+""Beatragus_hunteri_BeaHun_v1_BIUU"""	None		1	
Hippotragini	"Hippotragus_equinus_ASM1643309v1+""Hippotragus_niger_niger_SCBI_HNig_10q""+""Addax_nasomaculatus_ASM1959352v1""+""Oryx_gazella_OR4864""+""Oryx_dammah_SCBI_Odam_11"""	None		1	
Cephalophini	"Cephalophus_harveyi_HVD+""Sylvicapra_grimmia_CMD5126""+""Philantomba_maxwellii_MXD"""	None		1	
Pantholopina	"Pantholops_hodgsonii_NC007441"""	None		0	
Reduncini	"Redunca_redunca_BHR+""Kobus_ellipsiprymnus_DFW""+""Kobus_leche_leche_Klec_v10"""	None		1	
Muntiacini	"Muntiacus_reevesi_NWPU+""Muntiacus_gongshanensis_ASM2022602v1""+""Muntiacus_muntjak_UCB_Mmun"""	None		1	
Neotragini	"Neotragus_moschatus_SUN+""Neotragus_pygmaeus_RAL"""	None		1	
Cervini	"Cervus_elaphus_RED+""Cervus_elaphus_hippelaphus_CERELA1""+""Cervus_canadensis_ASM1932006v1"""	None		1	
Pseudoryna	"Pseudoryx_nghetinhensis_AHPNTTN+""Pseudoryx_nghetinhensis_SAO1"""	None		1	
Bubalina	"Syncerus_caffer_ABF221+""Syncerus_caffer_AHSCZAK""+""Syncerus_caffer_CAB""+""Bubalus_kerabau_CUSA_SWP""+""Bubalus_bubalis_AAUIN""+""Bubalus_bubalis_BGI""+""Bubalus_bubalis_CKM7""+""Bubalus_bubalis_NDDB_SH_1""+""Bubalus_bubalis_UMD_CASPUR_WB_20""+""Bubalus_bubalis_UOAWB""+""Bubalus_bubalis_V0754""+""Bubalus_depressicornis_ANT3"""	None		1	
Okapini	"Okapia_johnstoni_TBG"""	None		0	
Tragelaphini	"Tragelaphus_imberbis_LEK543+""Tragelaphus_scriptus_BUB555""+""Tragelaphus_scriptus_C7AR31""+""Tragelaphus_scriptus_sylvaticus_MBP2""+""Tragelaphus_angasii_MBP15""+""Tragelaphus_strepsiceors_GTK544""+""Tragelaphus_oryx_CME1477""+""Tragelaphus_spekii_STG9200""+""Tragelaphus_eurycerus_BNG9162""+""Tragelaphus_eurycerus_T51""+""Tragelaphus_eurycerus_MTraEu""+""Tragelaphus_buxtoni_MNT9119"""	None		1	
Capreolini	"Hydropotes_inermis_NWPU"""	None		0	
Procaprina	"Procapra_przewalskii_PLG"""	None		0	
Giraffini	"Giraffa_camelopardalis_GFE+""Giraffa_camelopardalis_antiquorum_PLA01""+""Giraffa_camelopardalis_rothschildi_ASM1759144v1""+""Giraffa_tippelskirchi_OR1865"""	None		1	
Ourebina	"Ourebia_ourebi_ORB4223"""	None		0	
Oreotragini+N.pygmaeus	"Oreotragus_oreotragus_KSP+""Neotragus_pygmaeus_RAL"""	None		1	
